week,date,city,country,tier,market_type,is_treated,post_treatment,treated_post,orders,active_users,new_users,aov_eur,reorder_rate,conversion_rate,avg_basket_items,delivery_fee_eur,weekly_revenue_eur,macro_shock
15,2022-04-11,Madrid,Spain,1,competitive,0,0,0,135293,86121,13536,22.59,0.6,0.0352,2.69,1.21,3087531.0,0.9675
16,2022-04-18,Madrid,Spain,1,competitive,0,0,0,140728,90244,11569,22.38,0.602,0.0273,2.97,1.22,3182522.0,0.9727
17,2022-04-25,Madrid,Spain,1,competitive,0,0,0,130990,82299,10373,22.4,0.607,0.0425,3.01,1.08,2960841.0,0.9711
18,2022-05-02,Madrid,Spain,1,competitive,0,0,0,134775,84711,12227,22.99,0.601,0.0367,3.01,1.23,3129736.0,0.9847
19,2022-05-09,Madrid,Spain,1,competitive,0,0,0,128351,82793,14386,22.83,0.612,0.0379,2.62,1.26,2961549.0,0.9801
20,2022-05-16,Madrid,Spain,1,competitive,0,0,0,125238,78664,10790,22.53,0.604,0.0347,3.13,1.21,2850167.0,0.9132
21,2022-05-23,Madrid,Spain,1,competitive,0,0,0,136212,84274,11917,22.76,0.604,0.0396,2.73,1.25,3131788.0,0.9677
22,2022-05-30,Madrid,Spain,1,competitive,0,0,0,137087,90570,14296,22.71,0.61,0.0352,2.97,1.21,3146123.0,0.996
23,2022-06-06,Madrid,Spain,1,competitive,0,0,0,136717,91077,14734,22.29,0.614,0.0378,2.77,1.23,3081029.0,0.9981
24,2022-06-13,Madrid,Spain,1,competitive,0,0,0,137830,87308,10621,22.76,0.591,0.0341,2.64,1.2,3168442.0,0.9831
25,2022-06-20,Madrid,Spain,1,competitive,0,0,0,134973,86488,12303,22.69,0.572,0.0318,3.0,1.28,3095749.0,0.983
26,2022-06-27,Madrid,Spain,1,competitive,0,0,0,134648,84471,10061,21.99,0.629,0.0343,2.87,1.18,2990812.0,0.9902
27,2022-07-04,Madrid,Spain,1,competitive,0,0,0,135775,87684,12641,22.08,0.601,0.0444,2.94,1.22,3030004.0,0.981
28,2022-07-11,Madrid,Spain,1,competitive,0,0,0,127729,83662,11620,22.34,0.599,0.0279,2.52,1.35,2887349.0,0.9918
29,2022-07-18,Madrid,Spain,1,competitive,0,0,0,128964,80393,9787,22.87,0.587,0.0229,2.95,1.29,2980519.0,0.988
30,2022-07-25,Madrid,Spain,1,competitive,0,0,0,129694,78113,11822,22.29,0.59,0.0307,2.88,1.21,2919234.0,0.989
31,2022-08-01,Madrid,Spain,1,competitive,0,0,0,122945,74128,11228,22.58,0.597,0.0373,2.94,1.16,2801895.0,0.9862
32,2022-08-08,Madrid,Spain,1,competitive,0,0,0,127391,77344,12961,22.4,0.593,0.0341,2.75,1.24,2882330.0,1.0114
33,2022-08-15,Madrid,Spain,1,competitive,0,0,0,128185,78728,13452,22.71,0.608,0.0349,2.63,1.26,2940841.0,1.0073
34,2022-08-22,Madrid,Spain,1,competitive,0,0,0,129298,79483,12681,22.2,0.602,0.0333,2.87,1.16,2898076.0,0.9931
35,2022-08-29,Madrid,Spain,1,competitive,0,0,0,133805,84946,10530,22.86,0.589,0.0368,3.13,1.16,3088344.0,1.0046
36,2022-09-05,Madrid,Spain,1,competitive,0,0,0,132096,86081,13503,23.17,0.61,0.0313,2.56,1.25,3092945.0,0.9895
37,2022-09-12,Madrid,Spain,1,competitive,0,0,0,131213,85457,14602,23.46,0.585,0.03,2.89,1.3,3111585.0,0.9955
38,2022-09-19,Madrid,Spain,1,competitive,0,0,0,132078,81093,14376,21.98,0.589,0.0355,2.84,1.14,2930808.0,0.9755
39,2022-09-26,Madrid,Spain,1,competitive,0,0,0,129202,78559,12106,22.78,0.602,0.031,2.82,1.21,2971738.0,0.9695
40,2022-10-03,Madrid,Spain,1,competitive,0,0,0,125626,82134,14080,22.8,0.601,0.0282,2.88,1.22,2894334.0,0.9823
41,2022-10-10,Madrid,Spain,1,competitive,0,0,0,128961,81743,10142,22.99,0.603,0.0336,2.91,1.22,2994731.0,0.9966
42,2022-10-17,Madrid,Spain,1,competitive,0,0,0,128736,81603,12486,22.3,0.598,0.0416,2.81,1.12,2898231.0,0.9997
43,2022-10-24,Madrid,Spain,1,competitive,0,0,0,137709,81712,13700,22.86,0.596,0.0382,2.57,1.38,3181857.0,0.9985
44,2022-10-31,Madrid,Spain,1,competitive,0,0,0,132570,80973,13954,21.99,0.595,0.0497,2.89,1.28,2946308.0,0.9957
45,2022-11-07,Madrid,Spain,1,competitive,0,0,0,120058,80662,15262,22.37,0.589,0.0407,2.76,1.2,2714736.0,0.981
46,2022-11-14,Madrid,Spain,1,competitive,0,0,0,132308,80752,9470,22.38,0.598,0.0311,2.79,1.18,2989639.0,0.9797
47,2022-11-21,Madrid,Spain,1,competitive,0,0,0,127368,80507,13736,22.53,0.614,0.0328,2.95,1.19,2898342.0,0.9817
48,2022-11-28,Madrid,Spain,1,competitive,0,0,0,132542,82782,10969,22.65,0.58,0.0565,2.99,1.24,3032871.0,0.9998
49,2022-12-05,Madrid,Spain,1,competitive,0,0,0,135596,88937,14558,22.31,0.572,0.0346,2.67,1.42,3063034.0,1.0036
50,2022-12-12,Madrid,Spain,1,competitive,0,0,0,139702,89299,14030,22.29,0.609,0.0502,2.83,1.2,3146105.0,0.983
51,2022-12-19,Madrid,Spain,1,competitive,0,0,0,148876,90827,12699,22.63,0.604,0.0496,2.79,1.15,3400399.0,0.9925
52,2022-12-26,Madrid,Spain,1,competitive,0,0,0,160024,93077,15788,22.1,0.599,0.0376,2.93,1.24,3571155.0,0.9909
53,2023-01-02,Madrid,Spain,1,competitive,0,0,0,148267,88121,11778,22.29,0.59,0.0496,3.01,1.21,3336859.0,0.9866
54,2023-01-09,Madrid,Spain,1,competitive,0,0,0,138303,90035,13273,22.92,0.612,0.0301,2.8,1.22,3202858.0,0.998
55,2023-01-16,Madrid,Spain,1,competitive,0,0,0,128931,83043,13212,22.89,0.614,0.042,2.76,1.14,2979631.0,0.9697
56,2023-01-23,Madrid,Spain,1,competitive,0,0,0,135132,83421,11875,22.33,0.624,0.0432,2.81,1.22,3048030.0,1.0168
57,2023-01-30,Madrid,Spain,1,competitive,0,0,0,126148,83533,10296,22.29,0.579,0.032,2.76,1.25,2843164.0,1.0017
58,2023-02-06,Madrid,Spain,1,competitive,0,0,0,127485,86113,14731,23.04,0.623,0.0339,3.02,1.19,2967997.0,0.9977
59,2023-02-13,Madrid,Spain,1,competitive,0,0,0,136217,89364,15880,22.56,0.568,0.0336,3.19,1.1,3102546.0,1.0021
60,2023-02-20,Madrid,Spain,1,competitive,0,0,0,140461,87180,12372,21.98,0.591,0.0207,3.09,1.33,3122118.0,1.0121
61,2023-02-27,Madrid,Spain,1,competitive,0,0,0,127219,86850,14198,23.03,0.577,0.0343,2.78,1.16,2960077.0,1.0026
62,2023-03-06,Madrid,Spain,1,competitive,0,0,0,139608,84310,12957,22.42,0.612,0.0327,2.84,1.18,3159857.0,0.9997
63,2023-03-13,Madrid,Spain,1,competitive,0,0,0,135882,87351,15440,22.39,0.583,0.0336,3.01,1.21,3074106.0,0.9876
64,2023-03-20,Madrid,Spain,1,competitive,0,0,0,133789,85878,11184,22.19,0.618,0.0218,2.88,1.11,2997375.0,0.9788
65,2023-03-27,Madrid,Spain,1,competitive,0,0,0,140867,88899,15836,22.82,0.599,0.0325,2.68,1.28,3248722.0,0.9951
66,2023-04-03,Madrid,Spain,1,competitive,0,0,0,149993,92551,11534,22.11,0.602,0.0396,2.56,1.22,3350219.0,1.0118
67,2023-04-10,Madrid,Spain,1,competitive,0,0,0,149358,91690,10464,21.61,0.59,0.0569,2.77,1.2,3260635.0,1.0069
68,2023-04-17,Madrid,Spain,1,competitive,0,0,0,147623,92925,13823,23.07,0.609,0.0321,2.6,1.23,3439952.0,1.0155
69,2023-04-24,Madrid,Spain,1,competitive,0,0,0,146009,90301,16426,22.53,0.605,0.04,2.72,1.26,3323717.0,1.014
70,2023-05-01,Madrid,Spain,1,competitive,0,0,0,142285,91152,16149,22.44,0.585,0.0282,2.89,1.26,3227331.0,1.002
71,2023-05-08,Madrid,Spain,1,competitive,0,0,0,143066,91153,12518,22.16,0.603,0.0292,2.89,1.21,3203431.0,1.0053
72,2023-05-15,Madrid,Spain,1,competitive,0,0,0,147563,93544,14422,22.47,0.6,0.0512,2.72,1.21,3349697.0,1.0204
73,2023-05-22,Madrid,Spain,1,competitive,0,0,0,145217,91435,13886,22.17,0.629,0.0469,2.62,1.12,3250183.0,1.0128
74,2023-05-29,Madrid,Spain,1,competitive,0,0,0,148996,92704,16410,22.51,0.589,0.0487,2.72,1.17,3386439.0,1.0256
75,2023-06-05,Madrid,Spain,1,competitive,0,0,0,146748,89290,13070,22.76,0.607,0.0306,2.88,1.17,3371325.0,0.9878
76,2023-06-12,Madrid,Spain,1,competitive,0,0,0,148353,88953,15085,22.24,0.63,0.0377,2.84,1.02,3326590.0,1.0011
77,2023-06-19,Madrid,Spain,1,competitive,0,0,0,138014,91373,12426,22.77,0.578,0.0254,2.59,1.14,3173828.0,1.0017
78,2023-06-26,Madrid,Spain,1,competitive,0,1,0,148076,91122,15315,22.34,0.622,0.0365,2.8,1.22,3341368.0,0.9978
79,2023-07-03,Madrid,Spain,1,competitive,0,1,0,141429,84780,12008,22.27,0.564,0.0407,2.8,1.17,3179382.0,0.9996
80,2023-07-10,Madrid,Spain,1,competitive,0,1,0,128544,86111,11338,22.42,0.586,0.0324,2.91,1.29,2915281.0,0.9779
81,2023-07-17,Madrid,Spain,1,competitive,0,1,0,126357,80462,14486,22.37,0.594,0.0479,2.6,1.24,2856538.0,0.9832
82,2023-07-24,Madrid,Spain,1,competitive,0,1,0,128277,80923,12279,22.36,0.616,0.0227,2.45,1.27,2899105.0,0.993
83,2023-07-31,Madrid,Spain,1,competitive,0,1,0,130791,80921,12947,22.1,0.594,0.0457,2.64,1.16,2918642.0,1.0117
84,2023-08-07,Madrid,Spain,1,competitive,0,1,0,134781,80284,10579,22.6,0.591,0.034,3.03,1.31,3077602.0,1.0019
85,2023-08-14,Madrid,Spain,1,competitive,0,1,0,128212,82757,9873,22.11,0.618,0.0399,2.73,1.21,2864808.0,0.9923
86,2023-08-21,Madrid,Spain,1,competitive,0,1,0,135411,82773,12878,22.53,0.592,0.0319,3.02,1.27,3082346.0,0.9895
87,2023-08-28,Madrid,Spain,1,competitive,0,1,0,144189,87400,14525,22.02,0.604,0.0341,2.76,1.34,3210177.0,1.0032
88,2023-09-04,Madrid,Spain,1,competitive,0,1,0,138149,88586,13611,22.61,0.597,0.043,2.73,1.1,3152782.0,1.0057
89,2023-09-11,Madrid,Spain,1,competitive,0,1,0,132269,85732,12487,23.08,0.602,0.0251,2.9,1.2,3083632.0,0.9979
90,2023-09-18,Madrid,Spain,1,competitive,0,1,0,136190,86574,12631,23.0,0.602,0.0317,2.81,1.19,3163277.0,1.0043
91,2023-09-25,Madrid,Spain,1,competitive,0,1,0,129010,86953,10484,22.62,0.616,0.026,2.65,1.25,2950814.0,1.0038
92,2023-10-02,Madrid,Spain,1,competitive,0,1,0,136125,85880,11125,22.42,0.588,0.0293,2.98,1.32,3085931.0,1.0132
93,2023-10-09,Madrid,Spain,1,competitive,0,1,0,143077,85759,11094,22.38,0.599,0.0395,2.65,1.26,3234480.0,1.0008
94,2023-10-16,Madrid,Spain,1,competitive,0,1,0,146436,81641,12802,22.19,0.59,0.0303,2.87,1.27,3280520.0,0.9969
95,2023-10-23,Madrid,Spain,1,competitive,0,1,0,121765,84593,10282,22.62,0.625,0.0398,2.89,1.13,2783001.0,0.9937
96,2023-10-30,Madrid,Spain,1,competitive,0,1,0,133187,84111,12143,22.35,0.602,0.0393,2.84,1.19,3006757.0,0.9798
97,2023-11-06,Madrid,Spain,1,competitive,0,1,0,130815,83048,13523,23.04,0.59,0.0357,2.88,1.24,3044871.0,0.9901
98,2023-11-13,Madrid,Spain,1,competitive,0,1,0,126307,82177,10414,22.29,0.568,0.0302,2.64,1.17,2844227.0,0.9965
99,2023-11-20,Madrid,Spain,1,competitive,0,1,0,131944,86143,11998,23.15,0.608,0.0335,2.9,1.22,3086032.0,0.9978
100,2023-11-27,Madrid,Spain,1,competitive,0,1,0,132165,83368,12073,22.59,0.594,0.0385,2.84,1.14,3014119.0,0.996
101,2023-12-04,Madrid,Spain,1,competitive,0,1,0,146226,87951,14041,22.12,0.594,0.0463,2.55,1.25,3267501.0,0.9818
102,2023-12-11,Madrid,Spain,1,competitive,0,1,0,151812,91799,14373,22.23,0.618,0.0411,2.48,1.24,3408930.0,0.9835
103,2023-12-18,Madrid,Spain,1,competitive,0,1,0,148787,91483,16164,22.64,0.614,0.0323,2.68,1.36,3405863.0,0.9855
104,2023-12-25,Madrid,Spain,1,competitive,0,1,0,152573,92403,12257,22.05,0.607,0.0379,2.38,1.14,3395836.0,0.9818
1,2022-01-03,Barcelona,Spain,1,competitive,0,0,0,110333,69506,10748,23.24,0.603,0.0399,2.73,1.24,2589995.0,1.0055
2,2022-01-10,Barcelona,Spain,1,competitive,0,0,0,109884,71672,10488,23.58,0.582,0.0406,2.81,1.11,2614931.0,1.002
3,2022-01-17,Barcelona,Spain,1,competitive,0,0,0,103547,66523,11693,22.76,0.62,0.0357,2.8,1.18,2380279.0,1.0084
4,2022-01-24,Barcelona,Spain,1,competitive,0,0,0,102675,67372,11770,23.1,0.609,0.0364,2.72,1.17,2395440.0,1.0222
5,2022-01-31,Barcelona,Spain,1,competitive,0,0,0,111317,67113,11866,22.24,0.579,0.0475,2.82,1.26,2501059.0,1.0119
6,2022-02-07,Barcelona,Spain,1,competitive,0,0,0,108276,66371,10498,23.01,0.588,0.0303,2.93,1.23,2515922.0,1.0051
7,2022-02-14,Barcelona,Spain,1,competitive,0,0,0,109051,72071,13251,23.45,0.605,0.0314,2.71,1.2,2583192.0,1.0207
8,2022-02-21,Barcelona,Spain,1,competitive,0,0,0,113986,72661,11214,23.0,0.583,0.0342,2.64,1.3,2650016.0,1.0219
9,2022-02-28,Barcelona,Spain,1,competitive,0,0,0,107860,69276,9185,23.04,0.6,0.0426,2.83,1.21,2510242.0,1.0091
10,2022-03-07,Barcelona,Spain,1,competitive,0,0,0,108818,72179,10289,22.83,0.597,0.0296,2.61,1.11,2508351.0,1.0119
11,2022-03-14,Barcelona,Spain,1,competitive,0,0,0,108491,70582,8676,23.16,0.577,0.0399,2.87,1.25,2539120.0,1.0026
12,2022-03-21,Barcelona,Spain,1,competitive,0,0,0,115646,68886,10674,22.69,0.591,0.0257,2.94,1.23,2649427.0,0.9966
13,2022-03-28,Barcelona,Spain,1,competitive,0,0,0,113342,71184,8697,23.43,0.595,0.0399,2.64,1.27,2682724.0,1.0004
14,2022-04-04,Barcelona,Spain,1,competitive,0,0,0,114635,70277,12584,23.56,0.614,0.0316,2.83,1.16,2725257.0,0.9792
15,2022-04-11,Barcelona,Spain,1,competitive,0,0,0,114826,73741,9146,23.5,0.61,0.0464,2.81,1.19,2724737.0,0.9675
16,2022-04-18,Barcelona,Spain,1,competitive,0,0,0,108933,72449,11803,22.82,0.614,0.0365,2.63,1.21,2512150.0,0.9727
17,2022-04-25,Barcelona,Spain,1,competitive,0,0,0,106952,69952,11979,22.9,0.626,0.0406,2.79,1.1,2472285.0,0.9711
18,2022-05-02,Barcelona,Spain,1,competitive,0,0,0,111301,69009,11613,23.47,0.598,0.0298,2.67,1.25,2638113.0,0.9847
19,2022-05-09,Barcelona,Spain,1,competitive,0,0,0,111130,69969,11196,23.24,0.624,0.0296,2.8,1.06,2604911.0,0.9801
20,2022-05-16,Barcelona,Spain,1,competitive,0,0,0,105486,66920,12179,22.87,0.588,0.0365,2.84,1.19,2436355.0,0.9132
21,2022-05-23,Barcelona,Spain,1,competitive,0,0,0,113338,69430,12007,23.35,0.593,0.0347,2.74,1.15,2670396.0,0.9677
22,2022-05-30,Barcelona,Spain,1,competitive,0,0,0,107388,70959,9170,23.1,0.594,0.0399,2.84,1.05,2503015.0,0.996
23,2022-06-06,Barcelona,Spain,1,competitive,0,0,0,111840,72484,11298,22.99,0.603,0.0318,2.69,1.3,2599470.0,0.9981
24,2022-06-13,Barcelona,Spain,1,competitive,0,0,0,115256,68064,11101,23.05,0.579,0.0293,2.78,1.14,2679929.0,0.9831
25,2022-06-20,Barcelona,Spain,1,competitive,0,0,0,109355,70504,12746,23.37,0.605,0.0471,2.81,1.21,2581219.0,0.983
26,2022-06-27,Barcelona,Spain,1,competitive,0,0,0,114306,70459,10414,22.71,0.606,0.0369,2.75,1.21,2621466.0,0.9902
27,2022-07-04,Barcelona,Spain,1,competitive,0,0,0,109118,69679,11017,23.4,0.586,0.0296,2.67,1.2,2578446.0,0.981
28,2022-07-11,Barcelona,Spain,1,competitive,0,0,0,109368,66915,10825,22.95,0.584,0.0508,3.02,1.24,2534888.0,0.9918
29,2022-07-18,Barcelona,Spain,1,competitive,0,0,0,103975,66074,8184,23.28,0.597,0.0446,2.74,1.21,2444523.0,0.988
30,2022-07-25,Barcelona,Spain,1,competitive,0,0,0,101897,62106,11109,22.55,0.605,0.0308,2.86,1.1,2318272.0,0.989
31,2022-08-01,Barcelona,Spain,1,competitive,0,0,0,101312,63417,7783,23.16,0.607,0.034,2.71,1.25,2370167.0,0.9862
32,2022-08-08,Barcelona,Spain,1,competitive,0,0,0,100264,65210,8841,23.32,0.609,0.057,2.85,1.29,2363393.0,1.0114
33,2022-08-15,Barcelona,Spain,1,competitive,0,0,0,107853,65315,11592,23.45,0.604,0.0313,2.66,1.21,2552862.0,1.0073
34,2022-08-22,Barcelona,Spain,1,competitive,0,0,0,101671,67130,11749,23.67,0.577,0.027,2.78,1.31,2432935.0,0.9931
35,2022-08-29,Barcelona,Spain,1,competitive,0,0,0,107930,66439,10864,23.16,0.596,0.0381,2.83,1.26,2524773.0,1.0046
36,2022-09-05,Barcelona,Spain,1,competitive,0,0,0,107322,69395,8593,22.76,0.593,0.0403,2.79,1.29,2469505.0,0.9895
37,2022-09-12,Barcelona,Spain,1,competitive,0,0,0,106705,66993,11346,22.76,0.602,0.0314,2.52,1.26,2453929.0,0.9955
38,2022-09-19,Barcelona,Spain,1,competitive,0,0,0,104909,66563,9656,23.05,0.612,0.04,2.65,1.19,2441915.0,0.9755
39,2022-09-26,Barcelona,Spain,1,competitive,0,0,0,103229,64728,8333,23.4,0.616,0.0291,2.77,1.28,2440414.0,0.9695
40,2022-10-03,Barcelona,Spain,1,competitive,0,0,0,98128,67067,11146,23.08,0.598,0.0316,2.76,1.16,2288134.0,0.9823
41,2022-10-10,Barcelona,Spain,1,competitive,0,0,0,101674,66532,10276,22.69,0.603,0.0365,2.75,1.26,2332132.0,0.9966
42,2022-10-17,Barcelona,Spain,1,competitive,0,0,0,106532,65605,10012,22.95,0.603,0.0284,2.51,1.23,2469118.0,0.9997
43,2022-10-24,Barcelona,Spain,1,competitive,0,0,0,109975,67913,10409,22.86,0.585,0.0408,2.7,1.18,2538070.0,0.9985
44,2022-10-31,Barcelona,Spain,1,competitive,0,0,0,110678,65893,11172,22.91,0.572,0.0284,2.79,1.18,2558959.0,0.9957
45,2022-11-07,Barcelona,Spain,1,competitive,0,0,0,104533,66685,9915,23.58,0.562,0.0348,2.6,1.18,2488495.0,0.981
46,2022-11-14,Barcelona,Spain,1,competitive,0,0,0,99455,64282,9616,23.43,0.6,0.0393,2.89,1.25,2354336.0,0.9797
47,2022-11-21,Barcelona,Spain,1,competitive,0,0,0,105671,66449,9512,22.84,0.612,0.0264,2.7,1.08,2435055.0,0.9817
48,2022-11-28,Barcelona,Spain,1,competitive,0,0,0,110475,68030,11151,23.04,0.596,0.0394,2.96,1.11,2567998.0,0.9998
49,2022-12-05,Barcelona,Spain,1,competitive,0,0,0,111492,71221,11900,23.47,0.57,0.0345,2.68,1.31,2644707.0,1.0036
50,2022-12-12,Barcelona,Spain,1,competitive,0,0,0,117032,73440,9013,22.54,0.606,0.0291,2.77,1.16,2663458.0,0.983
51,2022-12-19,Barcelona,Spain,1,competitive,0,0,0,117149,73947,9151,22.74,0.586,0.0319,2.78,1.08,2687927.0,0.9925
52,2022-12-26,Barcelona,Spain,1,competitive,0,0,0,114840,75462,11087,23.13,0.601,0.0357,2.85,1.15,2682284.0,0.9909
53,2023-01-02,Barcelona,Spain,1,competitive,0,0,0,119412,69777,8918,23.42,0.597,0.0372,2.95,1.17,2821121.0,0.9866
54,2023-01-09,Barcelona,Spain,1,competitive,0,0,0,112496,72584,9946,22.38,0.573,0.0184,2.92,1.16,2542920.0,0.998
55,2023-01-16,Barcelona,Spain,1,competitive,0,0,0,105680,66833,9104,22.77,0.62,0.0392,2.75,1.37,2433802.0,0.9697
56,2023-01-23,Barcelona,Spain,1,competitive,0,0,0,111005,71568,11410,23.1,0.583,0.0333,2.99,1.15,2588906.0,1.0168
57,2023-01-30,Barcelona,Spain,1,competitive,0,0,0,108915,68475,11016,23.17,0.628,0.0439,2.64,1.14,2546979.0,1.0017
58,2023-02-06,Barcelona,Spain,1,competitive,0,0,0,110835,71420,10955,23.02,0.578,0.0399,2.92,1.27,2578633.0,0.9977
59,2023-02-13,Barcelona,Spain,1,competitive,0,0,0,117898,73073,12513,23.36,0.606,0.033,2.68,1.13,2778869.0,1.0021
60,2023-02-20,Barcelona,Spain,1,competitive,0,0,0,108742,68666,10807,23.2,0.588,0.0234,2.83,1.21,2547740.0,1.0121
61,2023-02-27,Barcelona,Spain,1,competitive,0,0,0,112709,70549,9255,23.14,0.581,0.0347,2.62,1.27,2634965.0,1.0026
62,2023-03-06,Barcelona,Spain,1,competitive,0,0,0,116789,69038,9447,22.8,0.597,0.0345,2.69,1.24,2688471.0,0.9997
63,2023-03-13,Barcelona,Spain,1,competitive,0,0,0,112951,71624,12803,22.3,0.593,0.0519,2.81,1.21,2544807.0,0.9876
64,2023-03-20,Barcelona,Spain,1,competitive,0,0,0,109070,69142,9687,23.03,0.608,0.0362,2.9,1.04,2533454.0,0.9788
65,2023-03-27,Barcelona,Spain,1,competitive,0,0,0,114334,70275,12538,23.6,0.59,0.0416,2.65,1.05,2720419.0,0.9951
66,2023-04-03,Barcelona,Spain,1,competitive,0,0,0,121769,78304,12022,23.39,0.619,0.028,2.64,1.08,2873547.0,1.0118
67,2023-04-10,Barcelona,Spain,1,competitive,0,0,0,127462,76243,12084,23.23,0.598,0.0428,2.58,1.22,2988847.0,1.0069
68,2023-04-17,Barcelona,Spain,1,competitive,0,0,0,136275,78878,13835,23.12,0.608,0.0406,2.99,1.19,3178837.0,1.0155
69,2023-04-24,Barcelona,Spain,1,competitive,0,0,0,117750,73280,10129,22.83,0.606,0.0337,3.15,1.32,2717251.0,1.014
70,2023-05-01,Barcelona,Spain,1,competitive,0,0,0,117884,73757,11544,23.31,0.589,0.0323,2.78,1.18,2773986.0,1.002
71,2023-05-08,Barcelona,Spain,1,competitive,0,0,0,113223,71367,11179,23.53,0.607,0.0412,2.89,1.08,2687260.0,1.0053
72,2023-05-15,Barcelona,Spain,1,competitive,0,0,0,124669,75704,13830,23.09,0.58,0.0409,2.89,1.28,2907678.0,1.0204
73,2023-05-22,Barcelona,Spain,1,competitive,0,0,0,118666,72211,11066,23.22,0.596,0.0282,2.59,1.21,2781637.0,1.0128
74,2023-05-29,Barcelona,Spain,1,competitive,0,0,0,123869,77080,11713,22.99,0.624,0.0288,2.97,1.21,2875728.0,1.0256
75,2023-06-05,Barcelona,Spain,1,competitive,0,0,0,116705,75840,9523,22.83,0.584,0.0443,2.61,1.18,2691223.0,0.9878
76,2023-06-12,Barcelona,Spain,1,competitive,0,0,0,124392,72099,10690,23.06,0.593,0.034,2.89,1.21,2894651.0,1.0011
77,2023-06-19,Barcelona,Spain,1,competitive,0,0,0,120496,74530,11445,22.85,0.597,0.0464,2.66,1.27,2781730.0,1.0017
78,2023-06-26,Barcelona,Spain,1,competitive,0,1,0,122172,74674,9886,23.56,0.579,0.0298,2.86,1.18,2904807.0,0.9978
79,2023-07-03,Barcelona,Spain,1,competitive,0,1,0,123651,74318,9241,23.51,0.596,0.0437,2.75,1.17,2933121.0,0.9996
80,2023-07-10,Barcelona,Spain,1,competitive,0,1,0,115409,67859,10600,23.27,0.611,0.0351,2.78,1.23,2710607.0,0.9779
81,2023-07-17,Barcelona,Spain,1,competitive,0,1,0,112477,66780,11612,23.21,0.614,0.036,2.83,1.2,2634632.0,0.9832
82,2023-07-24,Barcelona,Spain,1,competitive,0,1,0,96637,65170,8263,23.0,0.612,0.0362,2.78,1.29,2247872.0,0.993
83,2023-07-31,Barcelona,Spain,1,competitive,0,1,0,108236,66226,11212,23.63,0.603,0.0489,2.67,1.2,2581458.0,1.0117
84,2023-08-07,Barcelona,Spain,1,competitive,0,1,0,102178,65060,10921,23.04,0.577,0.0318,2.75,1.23,2378188.0,1.0019
85,2023-08-14,Barcelona,Spain,1,competitive,0,1,0,111224,67833,9452,23.12,0.613,0.0417,3.01,1.14,2594698.0,0.9923
86,2023-08-21,Barcelona,Spain,1,competitive,0,1,0,107742,69550,9423,23.45,0.6,0.0254,2.67,1.2,2551588.0,0.9895
87,2023-08-28,Barcelona,Spain,1,competitive,0,1,0,113276,71293,12315,23.19,0.595,0.0242,2.76,1.2,2652536.0,1.0032
88,2023-09-04,Barcelona,Spain,1,competitive,0,1,0,112932,74560,11161,22.54,0.607,0.0245,2.85,1.15,2571210.0,1.0057
89,2023-09-11,Barcelona,Spain,1,competitive,0,1,0,117015,70519,10916,23.19,0.574,0.0396,2.87,1.33,2741715.0,0.9979
