week,Abidjan,Almaty,Barcelona,Belgrade,Bucharest,Casablanca,Krakow,Kyiv,Lagos,Lisbon,Madrid,Milan,Nairobi,Porto,Sofia,Tbilisi,Tunis,Warsaw,Yerevan,Zagreb
32,10544.0,17933.0,100264.0,18017.0,26523.0,23421.0,29152.0,47283.0,18222.0,38231.0,127391.0,96900.0,20458.0,19450.0,18811.0,12795.0,11447.0,52332.0,9320.0,15207.0
33,11277.0,19057.0,107853.0,16598.0,25948.0,22592.0,26775.0,45615.0,18051.0,32705.0,128185.0,102720.0,21660.0,20190.0,19070.0,13444.0,11601.0,55500.0,9620.0,15227.0
34,11110.0,19242.0,101671.0,15849.0,27122.0,24083.0,27523.0,47164.0,16615.0,33821.0,129298.0,104437.0,20142.0,21304.0,18542.0,12510.0,12011.0,52805.0,9356.0,14463.0
35,11685.0,18429.0,107930.0,18515.0,26719.0,21963.0,28632.0,45759.0,16824.0,37143.0,133805.0,104976.0,21513.0,21838.0,20619.0,13704.0,11461.0,54570.0,9890.0,15254.0
36,11095.0,19283.0,107322.0,17140.0,27296.0,22913.0,27695.0,45903.0,17807.0,38894.0,132096.0,98153.0,20094.0,21077.0,18960.0,13107.0,11460.0,56077.0,9785.0,14861.0
37,12118.0,18973.0,106705.0,16210.0,27320.0,22546.0,28396.0,43736.0,19180.0,37646.0,131213.0,101574.0,20955.0,21176.0,19081.0,13944.0,11558.0,55363.0,8839.0,16408.0
38,12394.0,17229.0,104909.0,17022.0,26554.0,24158.0,26121.0,45349.0,18032.0,33725.0,132078.0,96351.0,20436.0,21246.0,18517.0,12770.0,11883.0,51991.0,9059.0,14977.0
39,10723.0,16850.0,103229.0,16501.0,25249.0,24797.0,27186.0,40591.0,19214.0,33740.0,129202.0,94502.0,20281.0,21928.0,18167.0,12767.0,11967.0,51830.0,9035.0,14867.0
40,11856.0,17899.0,98128.0,17810.0,28750.0,24002.0,26874.0,47398.0,18276.0,34314.0,125626.0,96303.0,20301.0,22384.0,19541.0,12685.0,12165.0,51963.0,8850.0,14899.0
41,11336.0,19218.0,101674.0,16850.0,28065.0,23137.0,25982.0,43706.0,19452.0,35652.0,128961.0,103786.0,20753.0,20737.0,17931.0,12926.0,12866.0,51674.0,9830.0,15067.0
42,13002.0,18899.0,106532.0,16828.0,27467.0,24843.0,28051.0,46377.0,19196.0,36585.0,128736.0,101931.0,22407.0,22110.0,19717.0,14918.0,12766.0,55215.0,9294.0,14575.0
43,11987.0,18170.0,109975.0,17908.0,27468.0,24970.0,27526.0,45737.0,18407.0,35865.0,137709.0,106342.0,23093.0,22130.0,18030.0,12928.0,12492.0,55034.0,8899.0,15499.0
44,13242.0,17965.0,110678.0,17214.0,26908.0,25269.0,27225.0,46415.0,18362.0,33481.0,132570.0,105251.0,21227.0,19773.0,18034.0,13505.0,12182.0,52840.0,9680.0,15701.0
45,11907.0,18678.0,104533.0,17158.0,27456.0,23009.0,27180.0,45225.0,19108.0,35777.0,120058.0,103144.0,22918.0,19672.0,16959.0,13296.0,12448.0,52227.0,9356.0,13578.0
46,12682.0,18600.0,99455.0,17897.0,25466.0,23354.0,26761.0,46779.0,18728.0,35665.0,132308.0,102580.0,21837.0,21124.0,18669.0,13176.0,12539.0,52195.0,9175.0,14762.0
47,12614.0,18794.0,105671.0,17110.0,27538.0,23376.0,27249.0,45490.0,18976.0,34257.0,127368.0,91880.0,21662.0,21096.0,19385.0,12735.0,12071.0,49941.0,9473.0,14799.0
48,13563.0,18795.0,110475.0,18951.0,26981.0,25394.0,28082.0,45231.0,18911.0,35342.0,132542.0,100017.0,22636.0,22458.0,19758.0,14240.0,12674.0,51367.0,10252.0,15246.0
49,13011.0,21459.0,111492.0,18951.0,31187.0,23720.0,28138.0,50213.0,19362.0,40296.0,135596.0,108944.0,23537.0,22588.0,21404.0,15016.0,12035.0,59480.0,10530.0,15898.0
50,12178.0,21257.0,117032.0,19286.0,29460.0,25269.0,30789.0,50499.0,18939.0,40500.0,139702.0,108525.0,21411.0,21913.0,20873.0,14899.0,12659.0,56493.0,10420.0,16086.0
51,13506.0,21153.0,117149.0,19324.0,31012.0,25973.0,31739.0,52770.0,19694.0,39999.0,148876.0,112733.0,21051.0,22122.0,20140.0,15111.0,13210.0,57062.0,11145.0,15881.0
52,13433.0,21550.0,114840.0,20020.0,30138.0,24266.0,31994.0,54225.0,21047.0,42114.0,160024.0,108040.0,23488.0,22922.0,21472.0,14350.0,13283.0,60538.0,11161.0,17007.0
53,13461.0,21246.0,119412.0,18836.0,29471.0,25504.0,30417.0,50508.0,19667.0,39776.0,148267.0,106424.0,22683.0,23433.0,21324.0,14053.0,13104.0,56197.0,11169.0,15384.0
54,13073.0,20390.0,112496.0,19076.0,29889.0,24768.0,30191.0,50315.0,20377.0,37413.0,138303.0,115070.0,22105.0,22945.0,22249.0,16147.0,12612.0,56185.0,11452.0,15934.0
55,12893.0,19243.0,105680.0,17822.0,27240.0,25055.0,26226.0,48823.0,19916.0,35217.0,128931.0,96520.0,22923.0,20870.0,18449.0,13898.0,13118.0,53541.0,9706.0,14541.0
56,14770.0,19842.0,111005.0,18385.0,29841.0,25588.0,26916.0,49645.0,21307.0,36304.0,135132.0,106426.0,23412.0,22495.0,20984.0,15016.0,13946.0,57517.0,11079.0,15649.0
57,13119.0,19385.0,108915.0,18494.0,29937.0,26384.0,28182.0,49750.0,20435.0,37636.0,126148.0,104898.0,24144.0,21757.0,20210.0,14005.0,13551.0,55623.0,10509.0,16049.0
58,13861.0,18831.0,110835.0,18265.0,27302.0,25398.0,29682.0,45810.0,20920.0,36638.0,127485.0,106926.0,23458.0,22374.0,19782.0,13835.0,14664.0,53413.0,10050.0,15281.0
59,13767.0,20587.0,117898.0,19071.0,31035.0,24933.0,28394.0,53359.0,21863.0,40414.0,136217.0,105703.0,21736.0,22408.0,19898.0,15506.0,14975.0,58721.0,11337.0,15742.0
60,14310.0,20133.0,108742.0,19562.0,27817.0,27498.0,28640.0,49077.0,21752.0,39918.0,140461.0,104598.0,24918.0,24815.0,21686.0,14485.0,13888.0,58467.0,10103.0,15878.0
61,13626.0,20330.0,112709.0,19761.0,31129.0,26479.0,29373.0,51481.0,22307.0,37068.0,127219.0,103432.0,23345.0,22363.0,21189.0,15267.0,14064.0,59587.0,10844.0,15262.0
62,14970.0,19737.0,116789.0,18790.0,29326.0,25168.0,29268.0,51592.0,20898.0,40971.0,139608.0,108112.0,22946.0,23840.0,22177.0,14789.0,14512.0,59017.0,10139.0,16239.0
63,14071.0,20805.0,112951.0,18898.0,28364.0,27487.0,30750.0,48762.0,19491.0,37959.0,135882.0,103519.0,24360.0,22759.0,21337.0,14197.0,14484.0,54742.0,10131.0,16950.0
64,13990.0,21638.0,109070.0,18277.0,30052.0,26880.0,29604.0,50709.0,20567.0,37750.0,133789.0,110407.0,25134.0,22189.0,21738.0,14870.0,13214.0,57941.0,10494.0,15922.0
65,15736.0,20823.0,114334.0,19051.0,30206.0,30519.0,30479.0,50868.0,23685.0,40600.0,140867.0,106158.0,27228.0,23720.0,20185.0,15607.0,15560.0,57633.0,11168.0,16461.0
66,16061.0,21914.0,121769.0,20967.0,32196.0,30012.0,32784.0,56155.0,23393.0,43501.0,149993.0,117087.0,26717.0,25415.0,22997.0,15556.0,16294.0,61648.0,11863.0,18239.0
67,16224.0,22203.0,127462.0,21451.0,32772.0,29829.0,32273.0,54887.0,24218.0,40924.0,149358.0,117611.0,28877.0,25878.0,22854.0,15449.0,16675.0,58507.0,11515.0,18224.0
68,17336.0,21781.0,136275.0,21274.0,31424.0,31379.0,33006.0,54278.0,25193.0,41721.0,147623.0,111843.0,26832.0,23687.0,22926.0,16941.0,16633.0,64895.0,11475.0,17725.0
69,15256.0,22426.0,117750.0,19196.0,31774.0,27558.0,30689.0,51910.0,22502.0,40454.0,146009.0,111203.0,25384.0,23417.0,22806.0,15498.0,14714.0,60822.0,11654.0,16963.0
70,14459.0,22302.0,117884.0,18801.0,28735.0,27411.0,31534.0,53776.0,22032.0,39677.0,142285.0,117514.0,26729.0,22091.0,21136.0,14903.0,14710.0,63113.0,11489.0,16435.0
71,14913.0,22958.0,113223.0,20609.0,30803.0,28798.0,31963.0,51580.0,21173.0,39199.0,143066.0,108054.0,25827.0,23310.0,20632.0,16024.0,15737.0,58002.0,11431.0,16560.0
72,14299.0,20749.0,124669.0,20665.0,31056.0,26138.0,31397.0,53165.0,22607.0,40781.0,147563.0,113042.0,25360.0,22368.0,22468.0,16014.0,16139.0,60461.0,11947.0,16656.0
73,16192.0,22185.0,118666.0,19989.0,30953.0,27264.0,30744.0,53149.0,20803.0,40306.0,145217.0,113549.0,26884.0,22515.0,22329.0,15545.0,15654.0,58160.0,11595.0,16537.0
74,14821.0,23222.0,123869.0,20704.0,32796.0,26417.0,30369.0,53063.0,21652.0,40775.0,148996.0,115416.0,23060.0,24016.0,21217.0,15945.0,15215.0,63917.0,12020.0,17463.0
75,14752.0,21704.0,116705.0,19487.0,30997.0,27654.0,31355.0,52564.0,21896.0,40837.0,146748.0,111432.0,24119.0,22347.0,23335.0,15850.0,14929.0,60489.0,11208.0,16665.0
76,14977.0,23214.0,124392.0,19802.0,32022.0,27835.0,32046.0,53168.0,21268.0,39631.0,148353.0,110905.0,24141.0,23586.0,22587.0,16047.0,15187.0,59466.0,11418.0,18222.0
77,14603.0,22495.0,120496.0,20036.0,32314.0,26307.0,31484.0,49967.0,20116.0,40070.0,138014.0,110871.0,23766.0,23161.0,21309.0,15808.0,13883.0,62930.0,11866.0,17163.0
78,14678.0,22138.0,122172.0,19981.0,31316.0,28350.0,31648.0,51700.0,22364.0,39994.0,148076.0,104751.0,22993.0,24053.0,21707.0,15922.0,15775.0,68754.0,11648.0,17804.0
79,14651.0,21324.0,123651.0,19722.0,30630.0,27348.0,32178.0,49361.0,23610.0,40680.0,141429.0,108861.0,25297.0,23270.0,21333.0,15659.0,14300.0,69914.0,11522.0,16638.0
80,13913.0,20661.0,115409.0,18302.0,28331.0,26241.0,30169.0,50743.0,21288.0,36564.0,128544.0,101437.0,24832.0,21585.0,22122.0,15268.0,14594.0,63696.0,11237.0,16330.0
81,12890.0,19843.0,112477.0,18538.0,30281.0,25433.0,28814.0,48526.0,22366.0,37445.0,126357.0,102091.0,25706.0,22517.0,21817.0,15713.0,13674.0,63055.0,10962.0,17010.0
82,15126.0,19983.0,96637.0,19747.0,29242.0,26150.0,29043.0,46423.0,22358.0,33158.0,128277.0,93301.0,23083.0,21369.0,19863.0,14405.0,14529.0,62371.0,10891.0,16613.0
83,14603.0,21971.0,108236.0,18398.0,30048.0,28000.0,29761.0,51290.0,22101.0,37481.0,130791.0,100760.0,24264.0,23030.0,20803.0,14970.0,15683.0,66290.0,10974.0,16881.0
84,15575.0,21861.0,102178.0,19545.0,28889.0,25727.0,29333.0,53082.0,20824.0,36367.0,134781.0,97342.0,23072.0,20973.0,20824.0,15156.0,15506.0,62206.0,11050.0,15382.0
85,13425.0,21481.0,111224.0,19421.0,30015.0,26941.0,28602.0,50246.0,22132.0,38408.0,128212.0,96962.0,24363.0,21334.0,22113.0,15305.0,14583.0,64074.0,10935.0,16212.0
86,14413.0,20528.0,107742.0,19246.0,30638.0,25026.0,28720.0,51575.0,21355.0,38976.0,135411.0,105473.0,23595.0,21808.0,21838.0,14680.0,13873.0,68073.0,11442.0,16093.0
87,15088.0,20320.0,113276.0,20663.0,29907.0,27104.0,29548.0,47687.0,21738.0,38971.0,144189.0,104636.0,23040.0,22282.0,22185.0,14562.0,14897.0,67010.0,10616.0,17029.0
88,14470.0,21149.0,112932.0,19194.0,30934.0,26193.0,29480.0,50259.0,22518.0,37152.0,138149.0,99959.0,23713.0,21626.0,21888.0,14370.0,14982.0,65411.0,10911.0,17417.0
89,14714.0,22516.0,117015.0,19443.0,30689.0,29133.0,30168.0,53486.0,24235.0,37833.0,132269.0,104026.0,25971.0,22444.0,22583.0,16374.0,15197.0,65521.0,12034.0,17285.0
90,15711.0,23002.0,111440.0,19766.0,31052.0,29080.0,31224.0,53656.0,22284.0,39555.0,136190.0,112961.0,25269.0,22982.0,21934.0,14964.0,14583.0,66440.0,10914.0,16886.0
91,15083.0,21645.0,111347.0,17603.0,30001.0,28550.0,28885.0,53051.0,22300.0,38946.0,129010.0,103884.0,24608.0,21770.0,21843.0,15621.0,16144.0,62936.0,10918.0,17347.0
92,14254.0,22125.0,116795.0,20209.0,29844.0,29389.0,31128.0,51842.0,23869.0,39744.0,136125.0,106923.0,24751.0,22040.0,22673.0,16133.0,15580.0,63438.0,11209.0,17037.0
93,14944.0,20966.0,109162.0,20373.0,28952.0,27648.0,31557.0,51043.0,22506.0,36640.0,143077.0,104009.0,25334.0,22282.0,21732.0,15378.0,15853.0,63297.0,10767.0,16834.0
94,14043.0,22102.0,120159.0,19458.0,29388.0,26585.0,29538.0,49412.0,23678.0,37167.0,146436.0,105686.0,24493.0,23011.0,21813.0,14772.0,15994.0,63931.0,11467.0,16467.0
95,16346.0,21717.0,118289.0,19669.0,28997.0,28680.0,28046.0,49438.0,23133.0,39095.0,121765.0,99564.0,25796.0,21898.0,21693.0,14685.0,15888.0,61663.0,10711.0,16162.0
96,16383.0,21697.0,112015.0,17948.0,30264.0,25619.0,29152.0,49417.0,24556.0,38305.0,133187.0,96047.0,25776.0,22513.0,21097.0,15371.0,15769.0,62942.0,10067.0,16778.0
97,15408.0,20945.0,112294.0,19736.0,29550.0,28614.0,28585.0,49327.0,22300.0,36817.0,130815.0,101561.0,24767.0,21395.0,20965.0,14737.0,14575.0,61942.0,11030.0,16086.0
98,15708.0,22062.0,110673.0,18844.0,30879.0,28046.0,27943.0,49442.0,23466.0,37822.0,126307.0,103825.0,24174.0,22947.0,20870.0,15031.0,16170.0,58931.0,11691.0,17033.0
99,15175.0,21499.0,115767.0,19553.0,29996.0,27428.0,28486.0,50666.0,24033.0,37412.0,131944.0,100836.0,25921.0,22826.0,20249.0,15354.0,15455.0,67406.0,11399.0,16357.0
100,16378.0,20748.0,110248.0,19036.0,30127.0,28066.0,28721.0,52825.0,24069.0,38129.0,132165.0,101964.0,27316.0,24878.0,22397.0,15243.0,15715.0,61788.0,11809.0,17326.0
101,15924.0,23664.0,123493.0,20493.0,30366.0,28504.0,30584.0,57806.0,22447.0,38048.0,146226.0,102739.0,24993.0,23891.0,22869.0,16758.0,16143.0,67040.0,12270.0,18161.0
102,16674.0,23726.0,118447.0,20346.0,34355.0,29132.0,31470.0,55072.0,23047.0,41090.0,151812.0,110986.0,26695.0,24471.0,23613.0,16141.0,15057.0,65224.0,12398.0,18360.0
103,17318.0,24737.0,126047.0,21175.0,33042.0,29469.0,31738.0,58802.0,23265.0,41128.0,148787.0,112986.0,24715.0,24524.0,24525.0,16618.0,15897.0,67379.0,12814.0,18723.0
104,17145.0,24072.0,128889.0,22006.0,33349.0,29199.0,31877.0,55996.0,21595.0,43320.0,152573.0,111569.0,25178.0,24609.0,23048.0,17786.0,16259.0,67257.0,13299.0,19418.0
